#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7020 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:86 out:83 type:P dur:2 cpbdur:2 q:16.73 aq:9.44 tex:720528 mv:28480 misc:408 imb:1352 pmb:2240 smb:8 d:- ref:0 ;
in:84 out:84 type:B dur:2 cpbdur:2 q:16.67 aq:12.30 tex:223454 mv:32447 misc:1691 imb:501 pmb:2785 smb:314 d:- ref:0 ;
in:83 out:85 type:b dur:2 cpbdur:2 q:16.65 aq:13.84 tex:88460 mv:20880 misc:2948 imb:188 pmb:2326 smb:1086 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:16.70 aq:13.81 tex:83794 mv:21275 misc:2675 imb:233 pmb:2275 smb:1092 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:16.96 aq:9.06 tex:814709 mv:29781 misc:446 imb:1168 pmb:2411 smb:21 d:- ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:16.85 aq:12.22 tex:234271 mv:32074 misc:1399 imb:372 pmb:2964 smb:264 d:- ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:16.79 aq:13.83 tex:85759 mv:20327 misc:2770 imb:148 pmb:2285 smb:1167 d:- ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:16.91 aq:14.06 tex:72373 mv:17491 misc:2752 imb:108 pmb:2077 smb:1415 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:17.20 aq:9.77 tex:556346 mv:24791 misc:807 imb:922 pmb:2508 smb:170 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:17.08 aq:12.53 tex:101994 mv:17794 misc:2972 imb:121 pmb:2291 smb:1188 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:17.02 aq:12.65 tex:5890 mv:2507 misc:2243 imb:6 pmb:672 smb:2922 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:17.14 aq:13.37 tex:10903 mv:2935 misc:2018 imb:23 pmb:597 smb:2980 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:17.34 aq:10.17 tex:656647 mv:28863 misc:538 imb:1081 pmb:2491 smb:28 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:17.27 aq:12.74 tex:216881 mv:31947 misc:1572 imb:331 pmb:2921 smb:348 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:17.23 aq:14.47 tex:67477 mv:18557 misc:2662 imb:78 pmb:2054 smb:1468 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:17.31 aq:14.68 tex:47993 mv:13357 misc:3058 imb:73 pmb:1831 smb:1696 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:17.25 aq:10.16 tex:599573 mv:27696 misc:459 imb:1066 pmb:2516 smb:18 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:17.30 aq:13.10 tex:171430 mv:29799 misc:2147 imb:280 pmb:2849 smb:471 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:17.32 aq:14.51 tex:55252 mv:18321 misc:3123 imb:105 pmb:2078 smb:1417 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:17.27 aq:14.59 tex:75003 mv:20929 misc:2892 imb:215 pmb:2228 smb:1157 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:17.34 aq:10.16 tex:633518 mv:28963 misc:495 imb:1139 pmb:2439 smb:22 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:17.29 aq:12.20 tex:221214 mv:28874 misc:1688 imb:364 pmb:2888 smb:348 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:17.27 aq:13.69 tex:15822 mv:4531 misc:2367 imb:62 pmb:778 smb:2760 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:17.32 aq:14.28 tex:87921 mv:19831 misc:2704 imb:154 pmb:1946 smb:1500 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:17.41 aq:10.67 tex:619570 mv:28375 misc:471 imb:1131 pmb:2445 smb:24 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:17.38 aq:12.59 tex:166884 mv:25322 misc:2410 imb:311 pmb:2570 smb:719 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:17.36 aq:13.40 tex:8523 mv:2232 misc:2261 imb:19 pmb:630 smb:2951 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:17.39 aq:14.71 tex:76930 mv:22146 misc:3060 imb:204 pmb:2250 smb:1146 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:17.45 aq:10.64 tex:695998 mv:30094 misc:476 imb:1165 pmb:2416 smb:19 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:17.43 aq:13.37 tex:220258 mv:35568 misc:1582 imb:437 pmb:2864 smb:299 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:17.42 aq:14.94 tex:77167 mv:19678 misc:2859 imb:145 pmb:2142 smb:1313 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:17.44 aq:15.08 tex:90096 mv:21335 misc:2705 imb:134 pmb:2142 smb:1324 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:17.48 aq:10.88 tex:748356 mv:29633 misc:747 imb:971 pmb:2464 smb:165 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:17.47 aq:13.04 tex:219484 mv:28236 misc:1920 imb:229 pmb:2729 smb:642 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:17.46 aq:13.85 tex:6683 mv:1439 misc:2054 imb:7 pmb:512 smb:3081 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:17.47 aq:15.08 tex:95002 mv:23998 misc:2704 imb:243 pmb:2178 smb:1179 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:17.72 aq:10.99 tex:748415 mv:30831 misc:490 imb:986 pmb:2588 smb:26 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:17.60 aq:14.06 tex:221370 mv:33737 misc:1621 imb:220 pmb:2933 smb:447 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:17.54 aq:15.54 tex:82863 mv:21854 misc:2603 imb:98 pmb:2253 smb:1249 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:17.66 aq:15.62 tex:74562 mv:19166 misc:2624 imb:93 pmb:2037 smb:1470 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:17.84 aq:11.45 tex:528137 mv:24885 misc:906 imb:798 pmb:2548 smb:254 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:17.78 aq:14.13 tex:163606 mv:26685 misc:2557 imb:132 pmb:2540 smb:928 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:17.75 aq:15.45 tex:60089 mv:17369 misc:2870 imb:71 pmb:1828 smb:1701 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:17.81 aq:15.77 tex:70102 mv:18879 misc:2715 imb:113 pmb:1880 smb:1607 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:17.93 aq:11.55 tex:558239 mv:26128 misc:1009 imb:739 pmb:2666 smb:195 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:17.88 aq:14.33 tex:199980 mv:29126 misc:2246 imb:140 pmb:2741 smb:719 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:17.86 aq:15.79 tex:75983 mv:19748 misc:2837 imb:65 pmb:1991 smb:1544 d:- ref:0 ;
